Date,AAPL,AMZN,AVGO,GOOGL,META,MSFT,NVDA,ORCL,TSLA,TSM
2012-09-10,19.924589157104492,12.854499816894531,2.5175864696502686,17.39303207397461,18.66353988647461,24.481849670410156,0.3043724596500397,26.496721267700195,1.824666976928711,10.411362648010254
2012-09-11,19.859949111938477,12.783499717712402,2.51470947265625,17.180076599121094,19.278715133666992,24.537643432617188,0.30803966522216797,26.504905700683594,1.8533329963684082,10.567176818847656
2012-09-12,20.136533737182617,12.781499862670898,2.5341320037841797,17.147565841674805,20.767030715942383,24.529678344726562,0.3114777207374573,26.45570182800293,1.8853329420089722,10.602590560913086
2012-09-13,20.5330753326416,13.01200008392334,2.52262282371521,17.523834228515625,20.548744201660156,24.657180786132812,0.3135404884815216,26.750934600830078,1.9653329849243164,10.645084381103516
2012-09-14,20.782609939575195,13.06350040435791,2.5219037532806396,17.614179611206055,21.82870101928711,24.87234878540039,0.3172074556350708,27.02155876159668,2.0260000228881836,10.878808975219727
2012-09-17,21.038156509399414,12.899999618530273,2.5377278327941895,17.621625900268555,21.352439880371094,24.87234878540039,0.3084981441497803,27.144577026367188,2.169332981109619,10.616752624511719
2012-09-18,21.102188110351562,12.9375,2.540618658065796,17.82762908935547,21.699710845947266,24.84844970703125,0.3105609118938446,27.078969955444336,2.0893330574035645,10.687581062316895
2012-09-19,21.107906341552734,13.083999633789062,2.532670736312866,18.056468963623047,23.108654022216797,24.744844436645508,0.3142279386520386,26.88214683532715,2.069999933242798,10.652167320251465
2012-09-20,21.00568199157715,13.040499687194824,2.4387338161468506,18.071857452392578,22.414106369018555,25.063621520996094,0.31193599104881287,26.45570182800293,2.059999942779541,10.482187271118164
2012-09-21,21.047470092773438,12.873499870300293,2.565908432006836,18.21755027770996,22.682003021240234,24.856412887573242,0.3133111894130707,26.627920150756836,2.001332998275757,10.482187271118164
2012-09-24,20.767879486083984,12.739999771118164,2.5001535415649414,18.599529266357422,20.628124237060547,24.529678344726562,0.3130819797515869,26.42290687561035,2.0439999103546143,10.503433227539062
2012-09-25,20.249279022216797,12.623000144958496,2.3852624893188477,18.594066619873047,20.12209129333496,24.218870162963867,0.3073520362377167,25.66843605041504,1.843999981880188,10.482187271118164
2012-09-26,19.997943878173828,12.483499526977539,2.4177777767181396,18.700794219970703,20.45944595336914,24.04353904724121,0.30208057165145874,25.200990676879883,1.8359999656677246,10.616752624511719
2012-09-27,20.483171463012695,12.829500198364258,2.5218305587768555,18.7762451171875,20.16177749633789,24.035573959350586,0.3043724596500397,25.602819442749023,1.8993330001831055,11.048789024353027
2012-09-28,20.055667877197266,12.715999603271484,2.5196633338928223,18.726604461669922,21.49134635925293,23.716796875,0.3057476580142975,25.79964828491211,1.9520000219345093,11.204605102539062
2012-10-01,19.823869705200195,12.600500106811523,2.506655693054199,18.907297134399414,21.818777084350586,23.50162124633789,0.3007054626941681,25.971860885620117,1.944000005722046,11.26126480102539
2012-10-02,19.881591796875,12.529999732971191,2.4871466159820557,18.788408279418945,22.096599578857422,23.637096405029297,0.30185142159461975,25.955459594726562,1.9866670370101929,11.332094192504883
2012-10-03,20.186447143554688,12.795999526977539,2.497986078262329,18.9251651763916,21.66002082824707,23.796489715576172,0.2988717555999756,26.09487533569336,1.9533330202102661,11.367506980895996
2012-10-04,20.046642303466797,13.023500442504883,2.4871466159820557,19.062917709350586,21.779088973999023,23.931970596313477,0.31216517090797424,26.160478591918945,1.9600000381469727,11.445414543151855
2012-10-05,19.619430541992188,12.92549991607666,2.4885919094085693,19.052988052368164,20.74718475341797,23.78851890563965,0.3048308491706848,25.74224090576172,1.9259999990463257,11.381671905517578
2012-10-08,19.1859188079834,12.95300006866455,2.448127031326294,18.80950164794922,20.24115753173828,23.73273468017578,0.30185142159461975,25.57002830505371,1.9500000476837158,10.999213218688965
